HOUSEID,GASUSGE,HighestEDUC,MEDCOND,TAXISERVICE,RIDESHARE22,ESCOOTERUSED,PTUSED,MCTRANSIT,WALKTRANSIT,BIKETRANSIT,EMPLOYMENT2,WTHHFIN,WTHHFIN5D,WTHHFIN2D,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,FLAG100,HHFAMINC,HHFAMINC_IMP,HH_RACE,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSACAT,MSASIZE,TRAVDAY,URBAN,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,TDAYDATE,WRKCOUNT,STRATUMID
9000013002,-0.2700532870069356,7,2,-0.1463250440550591,-0.2918879745987055,-0.08377420714062818,-0.22018549891448133,-0.13940325075498544,0.4600583808355553,-0.26077029312788524,0.43720392701779054,-0.6736448313513218,-0.735020034199264,-0.036092399945841465,0.15681964958642614,1,1,1,1,1,2,0.26738705593041473,0.7031362695984728,11,1,11,11,1,1.307637599154573,-0.0009402204025618533,1,4,1,5,1,1,4,1,2.09234974387962,-0.27225827874359043,1.576994271290055,1,202202,-0.031095644416893258,1021
9000013016,-0.29528042024985784,6,2,-0.1463250440550591,-0.2918879745987055,-0.08377420714062818,-0.22018549891448133,-0.13940325075498544,-0.013900410164936716,-0.26077029312788524,0.8440698645541942,-0.7795780327815837,-0.5573720667638887,-0.3873733744624121,0.15681964958642614,3,3,2,1,1,2,0.26738705593041473,0.4622242682624625,13,1,7,7,1,-0.25620269382634653,-0.9634572782251817,1,2,3,3,4,1,2,1,-0.42824843459249184,-0.27225827874359043,-0.18187591517913312,1,202202,1.0665959215508762,1021
9000013039,-0.3862590798395566,6,2,-0.1463250440550591,-0.2918879745987055,-0.08377420714062818,-0.22018549891448133,-0.13940325075498544,0.06509272166847861,-0.26077029312788524,0.030337989481386888,-0.37201464132091266,-0.16197990554321215,-0.3873733744624121,0.15681964958642614,3,3,1,1,1,2,0.26738705593041473,-0.501423737081579,11,1,7,7,1,1.307637599154573,-0.9634572782251817,1,6,1,4,5,1,4,1,2.09234974387962,-0.27225827874359043,1.576994271290055,1,202201,-0.031095644416893258,1021
9000013041,-0.385409780594311,6,2,-0.1463250440550591,-0.2918879745987055,-0.08377420714062818,-0.22018549891448133,-0.13940325075498544,-0.5668523329988441,-0.26077029312788524,0.30158194783898934,-0.6682653758696263,-0.4136439204764808,-0.3873733744624121,-1.1699449418378118,1,2,2,1,1,2,-1.081026485798897,-0.9832477397535996,12,1,11,11,1,-1.0381228403168066,-0.9634572782251817,2,1,2,4,2,1,3,1,-0.42824843459249184,-0.27225827874359043,-1.0613110084137274,1,202201,-0.031095644416893258,1021
9000013042,0.7140163184144109,8,2,-0.1463250440550591,0.7458179420414419,-0.08377420714062818,1.5679989863907156,-0.13940325075498544,0.14408585350189393,-0.26077029312788524,1.1153138229117967,-0.5000245450654723,-0.22309860780677945,-0.3873733744624121,0.15681964958642614,1,1,1,1,1,2,0.26738705593041473,-0.019599734409558197,11,1,11,11,3,0.5257174526641133,-0.0009402204025618533,1,4,1,5,6,1,4,1,-0.42824843459249184,2.294850702146632,-0.18187591517913312,1,202202,1.0665959215508762,1021
9000013043,-0.33445182587957584,7,2,-0.1463250440550591,0.3999159698280594,-0.08377420714062818,-0.22018549891448133,-0.13940325075498544,1.8029416220036156,-0.26077029312788524,-1.054637843949023,-0.7125924163973226,-0.49733391532852717,-0.3873733744624121,-1.1699449418378118,2,1,1,1,1,2,-1.081026485798897,-0.7423357384175893,11,1,6,6,1,-1.0381228403168066,-0.9634572782251817,2,9,1,5,3,1,4,1,-0.42824843459249184,-0.27225827874359043,-1.0613110084137274,1,202202,-1.1287872103846628,1021
9000013044,-0.4119645677447053,6,2,-0.1463250440550591,0.3999159698280594,-0.08377420714062818,-0.22018549891448133,-0.13940325075498544,1.0130103036694624,-0.26077029312788524,1.1153138229117967,-0.6849216494692584,-0.45879100893856495,-0.3873733744624121,0.15681964958642614,3,3,1,1,1,2,0.26738705593041473,-0.019599734409558197,11,1,7,7,1,-0.25620269382634653,-0.0009402204025618533,1,2,1,5,6,1,4,1,-0.42824843459249184,-0.27225827874359043,-0.18187591517913312,1,202202,1.0665959215508762,1021
9000013045,-0.3653041341974626,8,2,-0.1463250440550591,-0.2918879745987055,-0.08377420714062818,-0.22018549891448133,-0.13940325075498544,-0.2508798056651827,-0.26077029312788524,0.1659599686601881,-0.64188932502728,-0.42959155385577785,-0.3873733744624121,0.15681964958642614,3,3,1,1,1,2,-1.081026485798897,0.9440482709344831,11,1,6,6,1,-0.25620269382634653,-0.9634572782251817,1,2,1,5,2,1,4,1,-0.42824843459249184,-0.27225827874359043,-0.18187591517913312,1,202202,1.0665959215508762,1021
9000013046,-0.218684373150076,6,2,-0.1463250440550591,-0.2918879745987055,-0.08377420714062818,-0.22018549891448133,-0.13940325075498544,-0.1718866738317674,-0.26077029312788524,-1.054637843949023,-0.5624422363655891,-0.735020034199264,0.048508788256241366,0.15681964958642614,2,1,1,1,1,2,0.26738705593041473,-0.9832477397535996,11,1,10,10,1,-0.25620269382634653,-0.0009402204025618533,1,10,1,4,1,1,4,1,-0.42824843459249184,-0.27225827874359043,-0.18187591517913312,1,202201,-1.1287872103846628,1021
9000013068,0.05285665303984806,6,2,-0.1463250440550591,-0.2918879745987055,-0.08377420714062818,-0.22018549891448133,-0.13940325075498544,-0.5668523329988441,-0.26077029312788524,0.030337989481386888,-0.5174558246655874,-0.735020034199264,-0.10725691163126175,0.15681964958642614,1,1,2,1,1,2,0.26738705593041473,0.4622242682624625,12,1,10,10,1,2.089557745645033,-0.0009402204025618533,1,4,2,4,1,4,6,2,0.8320506546435642,4.861959683036854,0.6975591780554609,2,202202,-0.031095644416893258,1022
